,Yr_Plot,Fire_Year,Plot_.,Date,Subsample_area_S.M.L,Belt_N.S.E.W,Belt_dist_m,Species,Height_cm,DBH_cm,Bud_scar_count,Pre_or_Post_Fire,Top_damage.browse_Y.N,tally,comments,tally_filled,ntimes,TPH
72,2012_102,2012,102,8/29/2016,M,W,7.1,ABLA,58,NA,NA,pre,y,NA,,1,1,83.33333333
73,2012_102,2012,102,8/29/2016,M,W,6.1,ABLA,78,NA,NA,pre,y,NA,,1,1,83.33333333
74,2012_102,2012,102,8/29/2016,M,S,3.6,ABLA,37,NA,16,pre ,n,NA,,1,1,83.33333333
75,2012_102,2012,102,8/29/2016,M,S,3.3,ABLA,34,NA,15,pre ,n,NA,,1,1,83.33333333
76,2012_102,2012,102,8/29/2016,M,S,3.6,ABLA,43,NA,16,pre ,n,NA,,1,1,83.33333333
77,2012_102,2012,102,8/29/2016,M,S,3.8,ABLA,50,NA,20,pre ,n,NA,,1,1,83.33333333
78,2012_102,2012,102,8/29/2016,M,S,4.2,ABLA,124,NA,NA,pre ,n,NA,,1,1,83.33333333
79,2012_102,2012,102,8/29/2016,M,S,2.8,ABLA,20,NA,9,pre,n,NA,,1,1,83.33333333
80,2012_102,2012,102,8/29/2016,M,S,2.8,ABLA,22,NA,10,pre,n,NA,,1,1,83.33333333
81,2012_102,2012,102,8/29/2016,M,S,2.7,ABLA,17,NA,7,pre ,n,NA,,1,1,83.33333333
82,2012_102,2012,102,8/29/2016,M,S,2.6,ABLA,17,NA,8,pre,n,NA,,1,1,83.33333333
83,2012_102,2012,102,8/29/2016,M,S,2.6,ABLA,39,NA,13,pre ,n,NA,,1,1,83.33333333
84,2012_114,2012,114,8/23/2016,S,e,26.2,LAOC,2,NA,1,post ,n,2,,3,3,333.3333333
85,2012_114,2012,114,8/23/2016,S,e,26.2,LAOC,2,NA,1,post ,n,2,,3,3,333.3333333
86,2012_114,2012,114,8/23/2016,S,e,26,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
87,2012_114,2012,114,8/23/2016,S,e,20.9,LAOC,1,NA,0,post ,n,NA,,1,1,333.3333333
88,2012_114,2012,114,8/23/2016,S,e,21.3,LAOC,1,NA,0,post,n,NA,,1,1,333.3333333
89,2012_114,2012,114,8/23/2016,S,e,21.6,LAOC,1,NA,0,post ,n,NA,,1,1,333.3333333
90,2012_114,2012,114,8/23/2016,S,e,21.7,LAOC,5,NA,1,post ,n,NA,,1,1,333.3333333
91,2012_114,2012,114,8/23/2016,S,e,22,PICO,5,NA,1,post,n,NA,,1,1,333.3333333
92,2012_114,2012,114,8/23/2016,S,e,22.6,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
93,2012_114,2012,114,8/23/2016,S,e,24.7,LAOC,2,NA,0,post ,n,NA,,1,1,333.3333333
94,2012_114,2012,114,8/23/2016,S,e,25.6,LAOC,2,NA,0,post ,n,NA,,1,1,333.3333333
95,2012_114,2012,114,8/23/2016,S,e,26,LAOC,6,NA,2,post ,n,NA,,1,1,333.3333333
96,2012_114,2012,114,8/23/2016,S,e,26.2,LAOC,2,NA,1,post ,n,2,,3,3,333.3333333
97,2012_114,2012,114,8/23/2016,S,s,14.4,LAOC,16,NA,3,post ,n,NA,,1,1,333.3333333
98,2012_114,2012,114,8/23/2016,S,s,13.8,LAOC,7,NA,1,post,n,NA,,1,1,333.3333333
99,2012_114,2012,114,8/23/2016,S,s,13.5,LAOC,6,NA,1,post,n,NA,,1,1,333.3333333
100,2012_114,2012,114,8/23/2016,S,s,13.5,LAOC,2,NA,1,post ,n,NA,,1,1,333.3333333
101,2012_114,2012,114,8/23/2016,S,s,13.2,LAOC,12,NA,3,post ,n,NA,,1,1,333.3333333
102,2012_114,2012,114,8/23/2016,S,s,13.2,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
103,2012_114,2012,114,8/23/2016,S,s,13,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
104,2012_114,2012,114,8/23/2016,S,s,12.4,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
105,2012_114,2012,114,8/23/2016,S,s,11.6,LAOC,2,NA,1,post ,n,NA,,1,1,333.3333333
106,2012_114,2012,114,8/23/2016,S,s,11,LAOC,10,NA,2,post,n,NA,,1,1,333.3333333
107,2012_114,2012,114,8/23/2016,S,s,11,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
108,2012_114,2012,114,8/23/2016,S,s,10.9,LAOC,9,NA,1,post ,n,NA,,1,1,333.3333333
109,2012_114,2012,114,8/23/2016,S,s,9.5,LAOC,5,NA,1,post ,n,NA,,1,1,333.3333333
110,2012_114,2012,114,8/23/2016,S,s,9.2,LAOC,5,NA,1,post,n,2,,3,3,333.3333333
111,2012_114,2012,114,8/23/2016,S,s,9.2,LAOC,5,NA,1,post,n,2,,3,3,333.3333333
112,2012_114,2012,114,8/23/2016,S,s,9.2,LAOC,5,NA,1,post,n,2,,3,3,333.3333333
113,2012_114,2012,114,8/23/2016,S,s,8.9,LAOC,5,NA,1,post ,n,NA,,1,1,333.3333333
114,2012_114,2012,114,8/23/2016,S,s,8.8,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
115,2012_114,2012,114,8/23/2016,S,s,8.4,LAOC,10,NA,2,post,n,NA,,1,1,333.3333333
116,2012_114,2012,114,8/23/2016,S,s,7.4,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
117,2012_114,2012,114,8/23/2016,S,s,6.3,LAOC,1,NA,0,post ,n,NA,,1,1,333.3333333
118,2012_114,2012,114,8/23/2016,S,s,6.1,LAOC,3,NA,0,post,n,NA,,1,1,333.3333333
119,2012_114,2012,114,8/23/2016,S,s,5.4,LAOC,2,NA,0,post ,n,NA,,1,1,333.3333333
120,2012_114,2012,114,8/23/2016,S,s,5.1,LAOC,2,NA,0,post,n,NA,,1,1,333.3333333
121,2012_114,2012,114,8/23/2016,S,s,4.7,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
122,2012_114,2012,114,8/23/2016,S,s,3.4,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
123,2012_114,2012,114,8/23/2016,S,s,3.4,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
124,2012_114,2012,114,8/23/2016,S,s,3.3,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
125,2012_114,2012,114,8/23/2016,S,s,3.3,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
126,2012_114,2012,114,8/23/2016,S,s,1.6,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
127,2012_114,2012,114,8/23/2016,S,e,26.5,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
128,2012_114,2012,114,8/23/2016,S,e,26.7,LAOC,3,NA,1,post ,n,3,,4,4,333.3333333
129,2012_114,2012,114,8/23/2016,S,e,26.7,LAOC,3,NA,1,post ,n,3,,4,4,333.3333333
130,2012_114,2012,114,8/23/2016,S,e,26.7,LAOC,3,NA,1,post ,n,3,,4,4,333.3333333
131,2012_114,2012,114,8/23/2016,S,e,26.7,LAOC,3,NA,1,post ,n,3,,4,4,333.3333333
132,2012_114,2012,114,8/23/2016,S,e,27.1,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
133,2012_114,2012,114,8/23/2016,S,e,27.8,LAOC,3,NA,1,post,n,2,,3,3,333.3333333
134,2012_114,2012,114,8/23/2016,S,e,27.8,LAOC,3,NA,1,post,n,2,,3,3,333.3333333
135,2012_114,2012,114,8/23/2016,S,e,27.8,LAOC,3,NA,1,post,n,2,,3,3,333.3333333
136,2012_114,2012,114,8/23/2016,S,s,14.9,LAOC,7,NA,1,post,n,NA,,1,1,333.3333333
137,2012_114,2012,114,8/23/2016,S,N,29.4,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
138,2012_114,2012,114,8/23/2016,S,N,29.4,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
139,2012_114,2012,114,8/23/2016,S,N,29.9,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
140,2012_114,2012,114,8/23/2016,S,N,30,LAOC,11,NA,2,post,n,NA,,1,1,333.3333333
141,2012_114,2012,114,8/23/2016,S,e,16.3,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
142,2012_114,2012,114,8/23/2016,S,e,16.9,LAOC,4,NA,1,post,n,3,,4,4,333.3333333
143,2012_114,2012,114,8/23/2016,S,e,16.9,LAOC,4,NA,1,post,n,3,,4,4,333.3333333
144,2012_114,2012,114,8/23/2016,S,e,16.9,LAOC,4,NA,1,post,n,3,,4,4,333.3333333
145,2012_114,2012,114,8/23/2016,S,e,16.9,LAOC,4,NA,1,post,n,3,,4,4,333.3333333
146,2012_114,2012,114,8/23/2016,S,e,17.3,LAOC,4,NA,1,post ,n,NA,,1,1,333.3333333
147,2012_114,2012,114,8/23/2016,S,e,17.7,LAOC,10,NA,2,post ,n,NA,,1,1,333.3333333
148,2012_114,2012,114,8/23/2016,S,e,18.1,LAOC,6,NA,1,post ,n,NA,,1,1,333.3333333
149,2012_114,2012,114,8/23/2016,S,e,18.2,LAOC,2,NA,1,post ,n,NA,,1,1,333.3333333
150,2012_114,2012,114,8/23/2016,S,e,18.5,LAOC,2,NA,1,post ,n,NA,,1,1,333.3333333
151,2012_114,2012,114,8/23/2016,S,e,18.6,LAOC,3,NA,1,post ,n,2,,3,3,333.3333333
152,2012_114,2012,114,8/23/2016,S,e,18.6,LAOC,3,NA,1,post ,n,2,,3,3,333.3333333
153,2012_114,2012,114,8/23/2016,S,e,18.6,LAOC,3,NA,1,post ,n,2,,3,3,333.3333333
154,2012_114,2012,114,8/23/2016,S,e,19.6,LAOC,1,NA,0,post ,n,NA,,1,1,333.3333333
155,2012_114,2012,114,8/23/2016,S,W,14.9,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
156,2012_114,2012,114,8/23/2016,S,W,14.8,LAOC,7,NA,1,post,n,NA,,1,1,333.3333333
157,2012_114,2012,114,8/23/2016,S,W,14.4,LAOC,25,NA,3,post,n,NA,,1,1,333.3333333
158,2012_114,2012,114,8/23/2016,S,W,14.2,PICO,6,NA,2,post,n,NA,,1,1,333.3333333
159,2012_114,2012,114,8/23/2016,S,W,14.1,LAOC,10,NA,2,post,n,NA,,1,1,333.3333333
160,2012_114,2012,114,8/23/2016,S,W,14,LAOC,8,NA,2,post,n,NA,,1,1,333.3333333
161,2012_114,2012,114,8/23/2016,S,W,14,LAOC,9,NA,2,post,n,NA,,1,1,333.3333333
162,2012_114,2012,114,8/23/2016,S,W,12.2,LAOC,10,NA,3,post,n,NA,,1,1,333.3333333
163,2012_114,2012,114,8/23/2016,S,W,12.6,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
164,2012_114,2012,114,8/23/2016,S,W,12.4,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
165,2012_114,2012,114,8/23/2016,S,W,11.9,LAOC,1,NA,1,post,n,NA,,1,1,333.3333333
166,2012_114,2012,114,8/23/2016,S,W,11.6,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
167,2012_114,2012,114,8/23/2016,S,W,11.5,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
168,2012_114,2012,114,8/23/2016,S,W,11.5,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
169,2012_114,2012,114,8/23/2016,S,W,11.5,LAOC,6,NA,1,post,n,NA,,1,1,333.3333333
170,2012_114,2012,114,8/23/2016,S,W,11.4,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
171,2012_114,2012,114,8/23/2016,S,W,11.3,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
172,2012_114,2012,114,8/23/2016,S,W,11.2,LAOC,2,NA,1,post ,n,NA,,1,1,333.3333333
173,2012_114,2012,114,8/23/2016,S,W,11.1,LAOC,2,NA,1,post ,n,NA,,1,1,333.3333333
174,2012_114,2012,114,8/23/2016,S,W,11,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
175,2012_114,2012,114,8/23/2016,S,W,10.8,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
176,2012_114,2012,114,8/23/2016,S,W,9.5,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
177,2012_114,2012,114,8/23/2016,S,W,9.2,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
